StateCode,SectorCode,PredictedMPCE,ActualMPCE,StateName,SectorName
35,1,6951.21646,8507.608551,Andaman and Nicobar Islands,Rural
35,2,8774.987847,11453.98389,Andaman and Nicobar Islands,Urban
28,1,5148.904407,5563.872528,Andhra Pradesh,Rural
28,2,7209.892835,7615.546439,Andhra Pradesh,Urban
12,1,5520.358146,6611.939625,Arunachal Pradesh,Rural
12,2,9033.756154,11188.43483,Arunachal Pradesh,Urban
18,1,3652.958341,3997.258165,Assam,Rural
18,2,7164.010807,7682.100788,Assam,Urban
10,1,3493.371372,3880.849063,Bihar,Rural
10,2,4972.779314,5449.563646,Bihar,Urban
4,1,7186.149971,10041.25709,Chandigarh,Rural
4,2,10734.12935,15138.19313,Chandigarh,Urban
22,1,2759.196448,2902.283944,Chhattisgarh,Rural
22,2,5627.138111,5236.951652,Chhattisgarh,Urban
25,1,4697.701248,4952.545208,Dadra & Nagar Haveli and Daman & Diu,Rural
25,2,6144.570155,7306.895956,Dadra & Nagar Haveli and Daman & Diu,Urban
7,1,6456.111261,7915.00995,Delhi,Rural
7,2,8008.039048,9548.716834,Delhi,Urban
30,1,7068.893607,8331.81707,Goa,Rural
30,2,9643.520364,10765.64626,Goa,Urban
24,1,4061.328813,4413.622424,Gujarat,Rural
24,2,7395.54218,7686.321458,Gujarat,Urban
6,1,5082.920501,5634.511475,Haryana,Rural
6,2,8893.515192,9610.091562,Haryana,Urban
2,1,5886.762603,6427.676028,Himachal Pradesh,Rural
2,2,9679.113367,10771.35407,Himachal Pradesh,Urban
1,1,4535.058216,4981.152433,Jammu and Kashmir,Rural
1,2,6380.340999,6952.363603,Jammu and Kashmir,Urban
20,1,2944.649927,3142.555791,Jharkhand,Rural
20,2,6013.025009,6113.964042,Jharkhand,Urban
29,1,4930.347585,5267.705774,Karnataka,Rural
29,2,9047.600867,9254.947996,Karnataka,Urban
32,1,6891.704982,7248.370499,Kerala,Rural
32,2,8061.5563,8602.522247,Kerala,Urban
36,1,4991.919061,5629.96954,Ladakh,Rural
36,2,8578.036945,10015.99543,Ladakh,Urban
31,1,6152.991489,7237.185328,Lakshadweep,Rural
31,2,6471.658099,7288.004573,Lakshadweep,Urban
23,1,3271.503097,3608.982583,Madhya Pradesh,Rural
23,2,5873.321662,6109.25331,Madhya Pradesh,Urban
27,1,4209.753647,4394.127748,Maharashtra,Rural
27,2,7451.900881,8210.64744,Maharashtra,Urban
14,1,4701.994393,4818.869255,Manipur,Rural
14,2,6026.069635,6248.765757,Manipur,Urban
17,1,3581.350791,4102.919316,Meghalaya,Rural
17,2,7227.436075,8775.671879,Meghalaya,Urban
15,1,6139.494933,6382.181606,Mizoram,Rural
15,2,8314.712314,9338.825969,Mizoram,Urban
13,1,5230.063894,5511.848059,Nagaland,Rural
13,2,8093.238927,8629.490709,Nagaland,Urban
21,1,3345.032939,3495.297372,Odisha,Rural
21,2,7627.300164,6471.178855,Odisha,Urban
34,1,6786.054891,8056.15123,Puducherry,Rural
34,2,7982.849854,8915.592128,Puducherry,Urban
3,1,5977.765712,6130.152236,Punjab,Rural
3,2,7452.760759,7907.821485,Punjab,Urban
8,1,4324.559526,4765.381364,Rajasthan,Rural
8,2,6900.655679,7630.954029,Rajasthan,Urban
11,1,7600.180949,10205.97074,Sikkim,Rural
11,2,12247.30105,16231.09718,Sikkim,Urban
33,1,5728.032679,5997.699079,Tamil Nadu,Rural
33,2,8349.798496,8899.482783,Tamil Nadu,Urban
37,1,4575.312079,5151.689436,Telangana,Rural
37,2,6379.267982,8451.897029,Telangana,Urban
16,1,5175.545645,6549.111648,Tripura,Rural
16,2,7213.959277,8592.513351,Tripura,Urban
9,1,3318.146244,3681.524304,Uttar Pradesh,Rural
9,2,6079.758709,6175.985777,Uttar Pradesh,Urban
5,1,4995.124943,5315.366498,Uttarakhand,Rural
5,2,8161.879722,8363.527539,Uttarakhand,Urban
19,1,3441.023447,3746.997385,West Bengal,Rural
19,2,6248.671459,6263.9961,West Bengal,Urban
38,1,4053.677995,3672.57974,India,Rural
38,2,6807.305536,6233.479023,India,Urban
